Category,Item
Upper Body,T-shirt
Upper Body,Long-sleeve shirt
Upper Body,Sweater
Upper Body,Hoodie
Upper Body,Polo shirt
Upper Body,Tank Top
Upper Body,Denim Jacket
Upper Body,Cardigan
Upper Body,Blazer
Upper Body,Flannel Shirt
Upper Body,Vest
Upper Body,Zip-up Hoodie
Upper Body,Thermal Shirt
Upper Body,Button-down Shirt
Upper Body,Henley Shirt
Lower Body,Jeans
Lower Body,Chinos
Lower Body,Shorts
Lower Body,Joggers
Lower Body,Cargo Pants
Lower Body,Dress Pants
Lower Body,Sweatpants
Lower Body,Track Pants
Lower Body,Corduroy Pants
Lower Body,Khakis
Lower Body,Suit Trousers
Lower Body,Hiking Pants
Lower Body,Lounge Shorts
Lower Body,Capri Pants
Lower Body,Overalls
Footwear,Casual Boots
Footwear,Dress Boots
Footwear,Winter Boots
Footwear,Rain Boots
Footwear,Hiking Boots
Footwear,Sneakers
Footwear,Running Shoes
Footwear,Loafers
Footwear,Sandals
Footwear,Flip-flops
Footwear,Moccasins
Footwear,Dress Shoes
Footwear,Oxfords
Footwear,Slip-ons
Footwear,Espadrilles
Coats and Jackets,Winter Coat
Coats and Jackets,Leather Jacket
Coats and Jackets,Rain Jacket
Coats and Jackets,Bomber Jacket
Coats and Jackets,Windbreaker
Coats and Jackets,Parka
Coats and Jackets,Blazer
Coats and Jackets,Down Jacket
Coats and Jackets,Peacoat
Coats and Jackets,Trench Coat
Coats and Jackets,Field Jacket
Coats and Jackets,Fleece Jacket
Coats and Jackets,Sport Coat
Coats and Jackets,Puffer Jacket
Coats and Jackets,Overcoat
Accessories,Scarf
Accessories,Gloves
Accessories,Beanie
Accessories,Neck Warmer
Accessories,Sunglasses
Accessories,Wrist Watch
Accessories,Cap
Accessories,Ear Muffs
Accessories,Face Mask
Accessories,Headband
Accessories,Necklace
Accessories,Bracelet
Accessories,Belt
Accessories,Handkerchief
Accessories,Umbrella
Headwear,Baseball Cap
Headwear,Beanie Hat
Headwear,Sun Hat
Headwear,Bucket Hat
Headwear,Wool Hat
Headwear,Fedora
Headwear,Cowboy Hat
Headwear,Visor
Headwear,Panama Hat
Headwear,Newsboy Cap
Headwear,Flat Cap
Headwear,Snapback Cap
Headwear,Beret
Headwear,Top Hat
Headwear,Pith Helmet
